iter	RMSE
0	0.9398378934
1	0.934497379
2	0.929545829
3	0.9245377585
4	0.9196201383
5	0.9149497135
6	0.9104811825
7	0.9060978131
8	0.9019493399
9	0.8979801937
10	0.8940531011
11	0.8905167765
12	0.8868739093
13	0.8833506464
14	0.87988251
15	0.8766606286
16	0.8734614485
17	0.8704757569
18	0.86753178
19	0.8645551332
20	0.8617336277
21	0.8590811237
22	0.8564594278
23	0.8540293314
24	0.8515804556
25	0.8492886074
26	0.8470889931
27	0.8448634919
28	0.8427260483
29	0.8406717304
30	0.8387495861
31	0.8368328302
32	0.8350593876
33	0.8331616494
34	0.8314689926
35	0.8297896977
36	0.8281454382
37	0.8265611134
38	0.8250303863
39	0.8235442908
40	0.8221175074
41	0.8207616537
42	0.819350017
43	0.8180135625
44	0.8167391374
45	0.8156293728
46	0.8144286235
47	0.8132969592
48	0.8122584253
49	0.8111430122
50	0.8100815161
51	0.8090207644
52	0.807987189
53	0.8069976621
54	0.8059961022
55	0.8050173721
56	0.8041221825
57	0.8032926529
58	0.8024535838
59	0.801524376
60	0.8007455016
61	0.799755491
62	0.7989578017
63	0.798284452
64	0.7976058746
65	0.7969605454
66	0.7960239619
67	0.7952546225
68	0.7945344894
69	0.7937802027
70	0.7931384308
71	0.7924240524
72	0.7916514376
73	0.7911034549
74	0.7904528104
75	0.7897997721
76	0.7890563389
77	0.7884319805
78	0.7877676493
79	0.7871873363
80	0.7866318963
81	0.7860633755
82	0.7855645396
83	0.7850873475
84	0.7846638864
85	0.7840499647
86	0.7835621569
87	0.7831454959
88	0.7826447867
89	0.7822233917
90	0.7818157742
91	0.7812852056
92	0.7809271249
93	0.7804471454
94	0.7799106237
95	0.7795795777
96	0.7790211585
97	0.7786868243
98	0.778260906
99	0.7777121071
100	0.7772915384
101	0.7769464384
102	0.7765423407
103	0.7760287788
104	0.775634222
105	0.7752945412
106	0.7749979262
107	0.7746892476
108	0.7743250314
109	0.7740319499
110	0.7735877724
111	0.7733021911
112	0.7729484462
113	0.772651274
114	0.7723767026
115	0.7719498282
116	0.7716148994
117	0.7712545346
118	0.7709183737
119	0.7705114925
120	0.7702162004
121	0.7699101933
122	0.7695824455
123	0.769105053
124	0.7688810967
125	0.7686196021
126	0.7683763322
127	0.7681028471
128	0.7678445539
129	0.7674622155
130	0.7669189387
131	0.7665759373
132	0.7662988531
133	0.7659718365
134	0.7657433187
135	0.7655144054
136	0.7652779468
137	0.7650970693
138	0.7648502549
139	0.7646304474
140	0.764374077
141	0.7641021366
142	0.7638250284
143	0.7636010349
144	0.763379232
145	0.7631449238
146	0.762843943
147	0.7626830462
148	0.7622988794
149	0.7619439012
150	0.7616871844
151	0.7614561447
152	0.7612104237
153	0.7610199574
154	0.7608413155
155	0.760666744
156	0.760349633
157	0.760139915
158	0.7599654601
159	0.7597005143
160	0.7593873326
161	0.7591599098
162	0.7588576793
163	0.7586584937
164	0.7582546536
165	0.7580743355
166	0.7577775432
167	0.7575742967
168	0.7574128227
169	0.75728275
170	0.7571443217
171	0.7569861858
172	0.7568065899
173	0.7566229344
174	0.7564902526
175	0.7563772763
176	0.7561251541
177	0.7559826793
178	0.7557245833
179	0.7555215077
180	0.755336312
181	0.7549489448
182	0.7547432027
183	0.7544566774
184	0.7542303149
185	0.7540672652
186	0.7538779862
187	0.7537260855
188	0.7535878673
189	0.7533098333
190	0.7530489618
191	0.7528699588
192	0.7524415139
193	0.7522942801
194	0.7521440678
195	0.7518060941
196	0.7515315106
197	0.7513759112
198	0.7510503256
199	0.750905456
200	0.7507659427
201	0.7506067733
202	0.7503706253
203	0.7502235288
204	0.7500407832
205	0.7499220867
206	0.7495583106
207	0.7493971709
208	0.7490981806
209	0.7489880345
210	0.7488806154
211	0.7486889826
212	0.748503172
213	0.7481340624
214	0.7478989495
215	0.747759783
216	0.7475471156
217	0.7473080334
218	0.7469323526
219	0.746779525
220	0.7465907745
221	0.7464380525
222	0.7460981588
223	0.7459348851
224	0.745784029
225	0.7456322932
226	0.7454851463
227	0.7453055157
228	0.7450956372
229	0.7448079843
230	0.744509105
231	0.7442886782
232	0.7439830334
233	0.7437290895
234	0.7433485628
235	0.7431248117
236	0.7429403306
237	0.7427329862
238	0.7424620203
239	0.7423231208
240	0.7420911353
241	0.7419781751
242	0.7417955348
243	0.7415671843
244	0.7413018519
245	0.7411205737
246	0.7408613647
247	0.7404998809
248	0.7403285548
249	0.7402008459
250	0.7399025284
251	0.7396311537
252	0.7394743394
253	0.7392850657
254	0.7391285536
255	0.739023388
256	0.7388924409
257	0.7386001722
258	0.7384755879
259	0.73834299
260	0.7382445449
261	0.7381508464
262	0.7379030889
263	0.7377814519
264	0.7376517978
265	0.7374807349
266	0.7373527049
267	0.737088734
268	0.7370088815
269	0.7368806254
270	0.7366100845
271	0.7364603067
272	0.7363517327
273	0.7361734163
274	0.7360551423
275	0.7358877408
276	0.7356464691
277	0.7354154561
278	0.7352807513
279	0.7350769646
280	0.7349568988
281	0.7347795829
282	0.7345038435
283	0.7343713525
284	0.7341138871
285	0.7338340025
286	0.7336792829
287	0.7335936886
288	0.7334380605
289	0.7333711048
290	0.7332343309
291	0.7331095209
292	0.7329134132
293	0.7325866389
294	0.7323877826
295	0.7321502016
296	0.7319275095
297	0.7318457594
