iter	Passed	Remaining
0	32	16135
1	55	13873
2	79	13168
3	105	13029
4	127	12620
5	149	12296
6	174	12279
7	197	12149
8	226	12333
9	256	12557
10	281	12524
11	306	12470
12	328	12310
13	352	12244
14	374	12115
15	399	12089
16	425	12089
17	455	12202
18	478	12125
19	506	12146
20	529	12086
21	553	12024
22	575	11944
23	600	11909
24	624	11866
25	649	11836
26	675	11833
27	701	11823
28	724	11770
29	749	11736
30	768	11627
31	788	11534
32	808	11437
33	833	11425
34	861	11452
35	892	11500
36	917	11479
37	938	11408
38	959	11347
39	979	11269
40	1001	11212
41	1018	11106
42	1045	11107
43	1069	11087
44	1103	11156
45	1133	11191
46	1157	11157
47	1185	11161
48	1213	11172
49	1236	11128
50	1259	11092
51	1284	11062
52	1313	11075
53	1335	11029
54	1361	11012
55	1383	10971
56	1406	10931
57	1431	10905
58	1451	10846
59	1474	10816
60	1498	10781
61	1527	10794
62	1552	10772
63	1575	10734
64	1594	10669
65	1617	10637
66	1639	10598
67	1661	10556
68	1686	10533
69	1708	10495
70	1743	10532
71	1769	10521
72	1792	10486
73	1814	10448
74	1836	10407
75	1861	10387
76	1886	10364
77	1909	10330
78	1940	10341
79	1968	10333
80	1990	10293
81	2017	10282
82	2039	10248
83	2065	10228
84	2087	10192
85	2108	10151
86	2136	10142
87	2169	10156
88	2200	10162
89	2225	10140
90	2247	10103
91	2271	10075
92	2294	10042
93	2317	10010
94	2339	9975
95	2363	9946
96	2388	9922
97	2418	9921
98	2437	9875
99	2458	9834
100	2482	9807
101	2501	9762
102	2526	9736
103	2547	9700
104	2571	9674
105	2600	9664
106	2633	9671
107	2661	9661
108	2683	9627
109	2709	9607
110	2731	9572
111	2751	9531
112	2776	9509
113	2799	9479
114	2824	9454
115	2845	9421
116	2871	9399
117	2891	9360
118	2914	9330
119	2939	9308
120	2961	9277
121	2982	9241
122	3003	9207
123	3027	9181
124	3048	9144
125	3067	9104
126	3087	9068
127	3111	9043
128	3133	9010
129	3156	8984
130	3176	8948
131	3199	8920
132	3223	8893
133	3247	8869
134	3269	8841
135	3291	8808
136	3314	8781
137	3337	8755
138	3358	8721
139	3382	8698
140	3405	8671
141	3424	8633
142	3447	8607
143	3474	8590
144	3497	8561
145	3518	8530
146	3536	8493
147	3556	8458
148	3574	8420
